# ==========================================
# IOTSYN.COM - IoT Synthetic Data Engine
# ==========================================
# GENERATOR VERSION: 3.2.0
# UNIQUE ID: iotsyn_69e3f867994002.32179617
# DOMAIN: Smart_Home
# CONFIGURATION: Climate: cold; Setpoint: 20.5C
# ROWS: 1000
# INTERVAL SECONDS: 1800
# SEED: 3889654259
# LICENSE: CC0 1.0 Universal
# STATISTICAL MODEL: Temperature: Multi-harmonic Fourier (A₁=2.5°C, A₂=0.75°C) + AR(1) noise (φ=0.85, σ=0.3°C) Humidity: Cholesky-correlated with temperature (ρ=-0.65, μ=55%, σ=10%) CO2: Mass-balance ODE dC/dt=(n·G-Q·(C-C_out))/V, Euler discretized Light: Dual-source model (sin²(solar) + occupancy-driven artificial) Occupancy: Time-dependent Markov chain with hourly transition matrices HVAC: Three-state deadband thermostat (OFF/HEATING/COOLING, ±1.5°C hysteresis)
# GENERATION DATE: 2026-04-18 21:32:23
# LICENSE: CC0 1.0 Universal (Public Domain)
# CITATION: IoTSyn Dataset Generator (2026). Available: https://iotsyn.com
# ==========================================
#
Timestamp,Room,Temp_C,Humidity_Pct,CO2_ppm,Light_Lux,Occupancy,HVAC_Status
"2026-04-11 21:32:23",Living_Room,19.69,41.8,420,0,0,OFF
"2026-04-11 22:02:23",Kitchen,20.32,50.7,421,0,0,OFF
"2026-04-11 22:32:23",Bathroom,18.43,62.7,410,12,0,HEATING
"2026-04-11 23:02:23",Living_Room,20.06,39.9,422,12,0,HEATING
"2026-04-11 23:32:23",Kitchen,21.33,47.1,420,16,0,OFF
"2026-04-12 00:02:23",Bathroom,17.47,65.7,424,0,0,HEATING
"2026-04-12 00:32:23",Living_Room,20.72,40.1,416,6,0,OFF
"2026-04-12 01:02:23",Kitchen,19.93,50.2,418,6,0,OFF
"2026-04-12 01:32:23",Bathroom,17.3,65.5,420,4,0,HEATING
"2026-04-12 02:02:23",Living_Room,20.77,39.3,419,1,0,OFF
"2026-04-12 02:32:23",Kitchen,19.35,52.8,416,0,0,OFF
"2026-04-12 03:02:23",Bathroom,17.53,66.5,425,7,0,HEATING
"2026-04-12 03:32:23",Living_Room,20.8,44.5,687,13,2,OFF
"2026-04-12 04:02:23",Kitchen,19.32,54.9,567,109,1,OFF
"2026-04-12 04:32:23",Bathroom,18.67,65.8,624,76,1,HEATING
"2026-04-12 05:02:23",Living_Room,20.63,43.5,553,34,0,OFF
"2026-04-12 05:32:23",Kitchen,19.62,56.6,726,93,2,OFF
